Ticket Id,Status (Ticket),Ticket Closed Time,First Response Time
7118.0,Closed,20-05-2021 21:41,20-05-2021 15:08
7120.0,Closed,20-05-2021 15:12,20-05-2021 14:43
7127.0,Closed,20-05-2021 15:47,20-05-2021 15:24
7147.0,Deleted,20-05-2021 19:11,
7148.0,Closed,20-05-2021 21:18,20-05-2021 21:18
7151.0,Deleted,20-05-2021 20:02,
7153.0,Closed,20-05-2021 20:39,20-05-2021 20:11
7157.0,Closed,21-05-2021 17:49,20-05-2021 20:56
7158.0,Closed,21-05-2021 20:02,
7160.0,Closed,20-05-2021 22:02,20-05-2021 21:13
7161.0,Closed,21-05-2021 10:29,20-05-2021 21:50
7162.0,Closed,20-05-2021 23:34,20-05-2021 21:48
7166.0,Closed,20-05-2021 23:50,20-05-2021 23:50
7167.0,Closed,20-05-2021 22:57,20-05-2021 22:56
7168.0,Duplicate,20-05-2021 22:38,
7171.0,Open,-,
